Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
801–1000,"Adam Mickiewicz University, PoznańPolandCourses","40,412",14.9,2%,69 : 31,801–1000,15.6–21.4,18.7,11.6,22.8,32.3,30.5,2018
801–1000,"University of Agriculture, FaisalabadPakistanCourses","19,736",32.9,0%,41 : 59,801–1000,15.6–21.4,17.7,12.4,20.2,31.9,27.1,2018
801–1000,Ain Shams UniversityEgyptCourses,"131,200",13.5,2%,61 : 39,801–1000,15.6–21.4,21.1,8.2,13.5,33.0,34.9,2018
801–1000,Ajou UniversitySouth KoreaCourses,"11,629",10.2,4%,34 : 66,801–1000,15.6–21.4,22.0,8.2,27.7,45.9,23.7,2018
801–1000,Akdeniz UniversityTurkeyCourses,"33,904",26.3,2%,45 : 55,801–1000,15.6–21.4,16.2,15.6,12.3,99.7,18.4,2018
801–1000,Alexandria UniversityEgyptCourses,"166,350",26.9,4%,53 : 47,801–1000,15.6–21.4,16.8,7.9,23.9,33.4,44.5,2018
801–1000,Alexandru Ioan Cuza UniversityRomaniaCourses,"23,476",17.7,6%,63 : 37,801–1000,15.6–21.4,22.0,9.3,17.2,31.8,36.7,2018
801–1000,University of AlicanteSpainCourses,"28,005",19.5,7%,57 : 43,801–1000,15.6–21.4,18.5,11.8,26.5,34.1,38.3,2018
801–1000,University of AlmeríaSpainCourses,"12,315",18.4,7%,57 : 43,801–1000,15.6–21.4,18.0,11.2,25.3,33.9,33.8,2018
801–1000,Amrita Vishwa VidyapeethamIndiaCourses,"14,233",11.9,13%,,801–1000,15.6–21.4,21.6,9.5,17.0,52.5,47.0,2018
801–1000,Andhra UniversityIndiaCourses,"9,632",19.2,3%,42 : 58,801–1000,15.6–21.4,33.6,8.8,4.3,35.4,16.3,2018
801–1000,Universidad Andrés Bello (UNAB)ChileCourses,"44,906",26.1,1%,52 : 48,801–1000,15.6–21.4,14.3,6.7,26.0,31.9,45.0,2018
801–1000,Annamalai UniversityIndiaCourses,"33,028",16.2,2%,35 : 65,801–1000,15.6–21.4,22.8,7.7,17.1,32.0,7.9,2018
801–1000,University of AntioquiaColombiaCourses,"39,524",23.1,0%,50 : 50,801–1000,15.6–21.4,18.1,21.7,17.5,38.7,38.8,2018
801–1000,"Asia University, TaiwanTaiwanCourses","12,514",30.7,2%,56 : 44,801–1000,15.6–21.4,16.6,21.2,19.8,51.4,23.9,2018
801–1000,Assiut UniversityEgyptCourses,"60,170",33.0,1%,41 : 59,801–1000,15.6–21.4,20.0,6.8,15.2,1.1,43.9,2018
801–1000,Austral University of ChileChileCourses,"14,423",16.7,2%,49 : 51,801–1000,15.6–21.4,17.4,10.9,24.4,42.8,48.5,2018
801–1000,Bandung Institute of Technology (ITB)IndonesiaCourses,"16,786",11.5,2%,40 : 60,801–1000,15.6–21.4,20.8,11.8,8.1,83.0,31.0,2018
801–1000,Bauman Moscow State Technical UniversityRussian FederationCourses,"19,394",4.0,7%,30 : 70,801–1000,15.6–21.4,39.8,16.3,4.6,52.5,20.0,2018
801–1000,Beijing Jiaotong UniversityChinaCourses,"24,610",13.7,6%,41 : 59,801–1000,15.6–21.4,22.2,21.9,11.9,58.2,22.5,2018
801–1000,Belarusian State UniversityBelarusCourses,"27,384",9.1,9%,69 : 31,801–1000,15.6–21.4,21.0,9.9,11.9,43.1,54.8,2018
801–1000,"Birla Institute of Technology and Science, PilaniIndiaCourses","12,502",17.5,0%,21 : 79,801–1000,15.6–21.4,18.7,7.9,31.9,32.6,16.2,2018
801–1000,University of BrasíliaBrazilCourses,"51,179",19.3,2%,51 : 49,801–1000,15.6–21.4,23.4,12.4,19.1,31.7,31.2,2018
801–1000,Brno University of TechnologyCzech RepublicCourses,"22,278",21.4,19%,28 : 72,801–1000,15.6–21.4,19.1,13.6,24.0,40.1,43.7,2018
801–1000,University of BucharestRomaniaCourses,"31,234",23.4,2%,69 : 31,801–1000,15.6–21.4,22.7,6.5,17.1,31.8,39.5,2018
801–1000,Budapest University of Technology and EconomicsHungaryCourses,"20,258",19.6,3%,31 : 69,801–1000,15.6–21.4,17.7,12.8,29.0,45.3,29.7,2018
801–1000,Cairo UniversityEgyptCourses,"252,095",46.2,2%,48 : 52,801–1000,15.6–21.4,21.5,11.4,22.6,33.0,32.9,2018
801–1000,University of CalcuttaIndiaCourses,"18,922",36.0,0%,50 : 50,801–1000,15.6–21.4,33.3,13.3,14.0,33.5,14.6,2018
801–1000,"California Polytechnic State University, San Luis ObispoUnited StatesCoursesEnquire","18,838",20.5,2%,47 : 53,801–1000,15.6–21.4,16.6,7.0,33.3,37.0,32.4,2018
801–1000,University of Castilla-La ManchaSpainCoursesExplore,"24,174",14.3,5%,56 : 44,801–1000,15.6–21.4,18.1,10.4,28.7,33.7,33.3,2018
801–1000,Catholic University of the NorthChileCourses,"11,187",20.2,1%,45 : 55,801–1000,15.6–21.4,16.3,11.7,12.5,33.2,51.1,2018
801–1000,Central University of VenezuelaVenezuelaCourses,"48,426",14.7,1%,57 : 43,801–1000,15.6–21.4,16.4,7.3,18.9,31.9,37.6,2018
801–1000,University of Cergy-PontoiseFranceCourses,"18,125",9.4,15%,64 : 36,801–1000,15.6–21.4,19.4,9.3,20.8,35.1,63.2,2018
801–1000,Chiang Mai UniversityThailandCourses,"35,809",16.9,1%,62 : 38,801–1000,15.6–21.4,21.0,12.8,19.8,49.7,34.7,2018
801–1000,China University of Mining and TechnologyChinaCourses,"43,095",18.1,1%,28 : 72,801–1000,15.6–21.4,20.0,15.0,15.9,57.9,14.8,2018
801–1000,"China University of Petroleum, BeijingChinaCourses","15,133",18.8,5%,,801–1000,15.6–21.4,22.0,22.9,12.8,99.6,19.0,2018
801–1000,Chongqing UniversityChinaCourses,"49,391",17.6,3%,,801–1000,15.6–21.4,19.2,17.8,20.8,58.8,19.0,2018
801–1000,Chungnam National UniversitySouth KoreaCourses,"22,674",22.2,3%,34 : 66,801–1000,15.6–21.4,23.2,18.3,13.1,43.9,21.9,2018
801–1000,Chung Yuan Christian UniversityTaiwanCourses,"15,769",31.7,9%,42 : 58,801–1000,15.6–21.4,16.8,23.9,15.0,42.2,28.5,2018
801–1000,Chuo UniversityJapanCourses,"26,870",37.6,3%,34 : 66,801–1000,15.6–21.4,26.4,8.8,18.4,34.4,21.2,2018
801–1000,Cochin University of Science and TechnologyIndiaCourses,"8,168",32.0,0%,36 : 64,801–1000,15.6–21.4,26.5,12.3,7.2,32.3,15.2,2018
801–1000,University of ColomboSri LankaCourses,"22,826",32.1,0%,59 : 41,801–1000,15.6–21.4,25.0,7.9,12.9,0.6,38.2,2018
801–1000,University of ConcepciónChileCourses,"26,682",17.9,1%,50 : 50,801–1000,15.6–21.4,17.1,13.5,20.4,57.2,47.6,2018
801–1000,Corvinus University of BudapestHungaryCourses,"13,724",25.0,12%,55 : 45,801–1000,15.6–21.4,16.9,9.5,18.0,32.0,43.7,2018
801–1000,University of Costa RicaCosta RicaCourses,"30,436",10.3,2%,53 : 47,801–1000,15.6–21.4,18.2,6.9,19.1,0.6,48.2,2018
801–1000,Czech University of Life Sciences Prague (CULS)Czech RepublicCourses,"17,077",20.6,18%,54 : 46,801–1000,15.6–21.4,18.7,12.1,12.1,47.7,66.9,2018
801–1000,University of DebrecenHungaryCoursesExplore,"27,519",18.2,14%,57 : 43,801–1000,15.6–21.4,18.8,3.4,27.5,40.4,50.1,2018
801–1000,Del Rosario UniversityColombiaCourses,"8,458",11.3,3%,,801–1000,15.6–21.4,17.7,8.1,25.6,31.9,45.7,2018
801–1000,University of DerbyUnited KingdomCoursesEnquire,"12,217",15.0,14%,55 : 45,801–1000,15.6–21.4,16.4,8.5,29.5,32.4,54.4,2018
801–1000,Ehime UniversityJapanCourses,"9,526",12.8,3%,37 : 63,801–1000,15.6–21.4,20.9,13.0,17.9,38.6,24.9,2018
801–1000,The University of Electro-CommunicationsJapanCourses,"4,982",16.6,5%,10 : 90,801–1000,15.6–21.4,20.4,19.8,17.1,36.3,27.0,2018
801–1000,University of Electronic Science and Technology of ChinaChinaCoursesExplore,"34,052",16.2,1%,23 : 77,801–1000,15.6–21.4,19.6,14.3,21.4,86.9,20.0,2018
801–1000,Erciyes UniversityTurkeyCourses,"35,263",25.3,2%,47 : 53,801–1000,15.6–21.4,17.0,11.0,21.8,71.2,20.8,2018
801–1000,Universidade Federal do Ceará (UFC)BrazilCourses,"34,084",16.3,0%,47 : 53,801–1000,15.6–21.4,22.1,9.1,18.8,33.0,22.1,2018
801–1000,Federal University of PelotasBrazilCourses,"17,882",13.7,1%,51 : 49,801–1000,15.6–21.4,18.3,8.1,35.0,1.1,19.7,2018
801–1000,Federal University of PernambucoBrazilCourses,"32,408",12.7,1%,50 : 50,801–1000,15.6–21.4,23.2,9.1,14.6,47.0,20.4,2018
801–1000,Federal University of Rio Grande do Norte (UFRN)BrazilCourses,"42,613",19.3,0%,54 : 46,801–1000,15.6–21.4,19.9,8.3,15.8,42.1,20.6,2018
801–1000,Universidade Federal de Santa CatarinaBrazilCourses,"34,183",14.2,2%,48 : 52,801–1000,15.6–21.4,25.0,10.6,23.6,38.4,26.1,2018
801–1000,Federal University of São CarlosBrazilCourses,"18,145",14.5,2%,49 : 51,801–1000,15.6–21.4,25.5,12.0,15.9,32.3,22.4,2018
801–1000,Feng Chia UniversityTaiwanCourses,"21,014",24.8,12%,37 : 63,801–1000,15.6–21.4,17.1,15.9,25.0,37.6,32.2,2018
801–1000,Ferdowsi University of MashhadIranCourses,"23,211",28.4,4%,57 : 43,801–1000,15.6–21.4,22.9,14.7,20.1,35.8,20.2,2018
801–1000,University of La FronteraChileCourses,"10,157",24.7,0%,44 : 56,801–1000,15.6–21.4,16.5,9.1,17.2,32.2,43.5,2018
801–1000,Fu Jen Catholic UniversityTaiwanCourses,"23,154",19.3,7%,58 : 42,801–1000,15.6–21.4,17.9,13.3,24.6,45.3,24.7,2018
801–1000,Universitas Gadjah MadaIndonesiaCourses,"42,398",12.4,1%,53 : 47,801–1000,15.6–21.4,18.9,10.4,18.1,60.6,38.9,2018
801–1000,Gdańsk University of TechnologyPolandCourses,"24,230",19.9,1%,40 : 60,801–1000,15.6–21.4,16.6,9.5,28.6,37.4,19.1,2018
801–1000,University of GhanaGhanaCourses,"39,436",35.1,2%,43 : 57,801–1000,15.6–21.4,17.7,18.3,20.4,34.2,48.4,2018
801–1000,Gifu UniversityJapanCourses,"7,320",8.0,4%,35 : 65,801–1000,15.6–21.4,22.7,10.8,15.5,34.7,21.3,2018
801–1000,Grigore T. Popa University of Medicine and PharmacyRomaniaCourses,"9,710",11.7,29%,65 : 35,801–1000,15.6–21.4,20.1,7.1,9.9,32.0,51.2,2018
801–1000,University of GuilanIranCourses,"16,946",15.1,0%,55 : 45,801–1000,15.6–21.4,18.0,10.9,24.4,32.0,14.0,2018
801–1000,Hallym UniversitySouth KoreaCourses,"8,688",10.1,3%,,801–1000,15.6–21.4,18.8,13.4,14.8,32.9,20.0,2018
801–1000,Hamamatsu University School of MedicineJapanCourses,"1,198",3.8,2%,49 : 51,801–1000,15.6–21.4,27.5,6.0,21.2,37.2,17.4,2018
801–1000,Hosei UniversityJapanCourses,"28,937",38.5,2%,35 : 65,801–1000,15.6–21.4,17.0,8.0,30.4,32.5,23.2,2018
801–1000,Huaqiao UniversityChinaCourses,"23,442",14.9,15%,38 : 62,801–1000,15.6–21.4,16.0,9.0,19.6,38.8,45.3,2018
801–1000,University of IbadanNigeriaCourses,"26,783",16.5,1%,47 : 53,801–1000,15.6–21.4,25.9,11.4,7.4,40.3,32.0,2018
801–1000,Imam Abdulrahman Bin Faisal UniversitySaudi ArabiaCoursesExplore,"22,257",8.8,4%,81 : 19,801–1000,15.6–21.4,20.7,6.3,5.3,32.3,70.8,2018
801–1000,University of IndonesiaIndonesiaCourses,"42,854",13.7,5%,59 : 41,801–1000,15.6–21.4,23.9,10.4,18.9,40.8,49.6,2018
801–1000,University of IsfahanIranCourses,"12,473",19.4,1%,59 : 41,801–1000,15.6–21.4,24.8,20.2,9.1,41.4,16.1,2018
801–1000,I-Shou UniversityTaiwanCourses,"16,705",31.3,11%,46 : 54,801–1000,15.6–21.4,16.1,14.4,15.5,49.0,28.7,2018
801–1000,Istanbul UniversityTurkeyCourses,"96,144",45.9,6%,48 : 52,801–1000,15.6–21.4,26.4,18.1,14.9,52.6,24.4,2018
801–1000,Iwate UniversityJapanCourses,"5,713",14.6,2%,37 : 63,801–1000,15.6–21.4,20.7,10.4,16.4,41.7,21.3,2018
801–1000,Izmir Institute of TechnologyTurkeyCourses,"4,211",18.6,4%,46 : 54,801–1000,15.6–21.4,18.8,9.2,32.3,42.4,29.8,2018
801–1000,Jamia Millia IslamiaIndiaCourses,"16,710",23.3,1%,33 : 67,801–1000,15.6–21.4,29.2,7.5,25.4,33.8,20.8,2018
801–1000,Jiangsu UniversityChinaCoursesExplore,"32,350",7.0,4%,47 : 53,801–1000,15.6–21.4,21.5,9.9,16.6,51.5,27.6,2018
801–1000,Jikei University School of MedicineJapanCourses,"1,020",0.6,4%,45 : 55,801–1000,15.6–21.4,25.5,8.6,28.3,35.1,18.6,2018
801–1000,Jinan UniversityChinaCoursesExplore,"34,016",14.8,25%,60 : 40,801–1000,15.6–21.4,21.4,13.8,19.1,37.2,44.1,2018
801–1000,The University of JordanJordanCourses,"31,278",16.0,14%,65 : 35,801–1000,15.6–21.4,19.3,9.1,11.5,34.8,62.8,2018
801–1000,Kagoshima UniversityJapanCourses,"10,577",10.2,3%,38 : 62,801–1000,15.6–21.4,21.2,10.9,20.4,38.6,20.8,2018
801–1000,Kansai Medical UniversityJapanCourses,829,1.1,2%,38 : 62,801–1000,15.6–21.4,26.9,7.0,28.4,32.2,16.8,2018
801–1000,Kasetsart UniversityThailandCourses,"68,505",23.1,1%,61 : 39,801–1000,15.6–21.4,18.4,10.7,10.5,40.4,36.3,2018
801–1000,University of KeralaIndiaCourses,"9,593",31.3,1%,65 : 35,801–1000,15.6–21.4,31.5,11.8,12.3,31.8,13.6,2018
801–1000,Khon Kaen UniversityThailandCourses,"34,661",18.8,2%,63 : 37,801–1000,15.6–21.4,19.8,9.3,16.9,53.5,30.9,2018
801–1000,Kindai UniversityJapanCourses,"30,609",13.0,2%,29 : 71,801–1000,15.6–21.4,15.6,9.4,35.4,37.0,20.4,2018
801–1000,King Mongkut’s Institute of Technology LadkrabangThailandCourses,"23,946",25.0,0%,52 : 48,801–1000,15.6–21.4,16.8,18.0,10.2,88.6,19.3,2018
801–1000,Kitasato UniversityJapanCourses,"8,555",5.5,0%,52 : 48,801–1000,15.6–21.4,23.5,8.8,19.6,43.3,15.7,2018
801–1000,Kyoto Institute of TechnologyJapanCourses,"4,057",13.0,5%,26 : 74,801–1000,15.6–21.4,23.1,13.9,8.0,40.4,20.6,2018
801–1000,Kyushu Institute of Technology (Kyutech)JapanCourses,"5,793",16.0,4%,13 : 87,801–1000,15.6–21.4,20.2,11.9,18.2,46.4,24.8,2018
801–1000,University of LatviaLatviaCourses,"12,034",14.0,7%,66 : 34,801–1000,15.6–21.4,18.8,9.3,20.0,32.3,40.1,2018
801–1000,Lobachevsky State University of Nizhni NovgorodRussian FederationCourses,"18,557",8.5,6%,53 : 47,801–1000,15.6–21.4,24.4,11.0,10.7,41.9,27.3,2018
801–1000,London South Bank UniversityUnited KingdomCoursesEnquire,"12,270",17.3,35%,55 : 45,801–1000,15.6–21.4,16.4,8.9,12.1,32.7,69.7,2018
801–1000,Mansoura UniversityEgyptCourses,"109,714",26.5,4%,54 : 46,801–1000,15.6–21.4,17.4,6.5,29.3,40.0,36.2,2018
801–1000,Marmara UniversityTurkeyCourses,"78,666",39.5,3%,49 : 51,801–1000,15.6–21.4,19.4,22.7,16.5,31.7,20.5,2018
801–1000,University of Marrakech Cadi AyyadMoroccoCourses,"76,560",51.7,1%,42 : 58,801–1000,15.6–21.4,18.1,7.2,25.0,34.1,41.6,2018
801–1000,Meiji UniversityJapanCourses,"32,270",29.1,4%,32 : 68,801–1000,15.6–21.4,16.3,10.0,18.1,53.3,22.0,2018
801–1000,Metropolitan Autonomous UniversityMexicoCourses,"57,092",20.1,0%,47 : 53,801–1000,15.6–21.4,17.0,15.9,16.4,38.9,25.3,2018
801–1000,Mie UniversityJapanCourses,"7,298",12.6,2%,37 : 63,801–1000,15.6–21.4,21.6,13.1,16.4,47.5,19.3,2018
801–1000,University of MiyazakiJapanCourses,"5,507",8.3,2%,35 : 65,801–1000,15.6–21.4,21.1,8.8,19.4,33.8,21.1,2018
801–1000,Mohammed V University of RabatMoroccoCourses,"71,147",32.5,4%,53 : 47,801–1000,15.6–21.4,24.4,7.9,20.0,37.8,30.0,2018
801–1000,Nagaoka University of TechnologyJapanCourses,"2,341",10.0,12%,11 : 89,801–1000,15.6–21.4,23.0,12.8,11.3,39.1,32.0,2018
801–1000,Nagasaki UniversityJapanCourses,"8,881",6.6,3%,37 : 63,801–1000,15.6–21.4,24.9,12.3,19.2,35.3,25.7,2018
801–1000,Nagoya Institute of TechnologyJapanCourses,"5,695",16.5,4%,13 : 87,801–1000,15.6–21.4,19.2,18.7,17.1,47.7,20.8,2018
801–1000,University of NairobiKenyaCourses,"84,614",47.3,0%,38 : 62,801–1000,15.6–21.4,15.1,9.4,21.1,32.2,46.6,2018
801–1000,Nara Medical UniversityJapanCourses,"1,155",3.3,1%,50 : 50,801–1000,15.6–21.4,25.4,9.6,13.8,38.0,14.5,2018
801–1000,National Chung Cheng UniversityTaiwanCourses,"10,925",16.9,4%,39 : 61,801–1000,15.6–21.4,20.2,19.5,13.4,38.3,19.4,2018
801–1000,National University of ColombiaColombiaCourses,"51,432",22.5,1%,36 : 64,801–1000,15.6–21.4,21.0,14.4,6.5,31.9,34.7,2018
801–1000,National University of CórdobaArgentinaCourses,"87,926",22.3,1%,62 : 38,801–1000,15.6–21.4,18.3,8.6,20.2,5.0,30.9,2018
801–1000,National Dong Hwa UniversityTaiwanCoursesExplore,"10,174",17.5,7%,49 : 51,801–1000,15.6–21.4,18.3,13.7,21.2,60.8,32.0,2018
801–1000,National Research Saratov State UniversityRussian FederationCourses,"10,544",11.8,4%,60 : 40,801–1000,15.6–21.4,20.6,13.2,13.3,36.3,29.8,2018
801–1000,National University of TainanTaiwanCourses,"5,996",25.4,3%,56 : 44,801–1000,15.6–21.4,20.6,15.8,26.1,35.3,15.5,2018
801–1000,National Taipei UniversityTaiwanCourses,"8,563",17.1,4%,55 : 45,801–1000,15.6–21.4,18.0,7.3,27.2,33.8,22.8,2018
801–1000,National Taipei University of TechnologyTaiwanCoursesExplore,"10,288",16.7,5%,27 : 73,801–1000,15.6–21.4,19.0,18.3,19.9,89.6,20.9,2018
801–1000,National Taiwan Ocean UniversityTaiwanCourses,"8,609",21.7,7%,,801–1000,15.6–21.4,19.1,22.3,18.6,52.5,23.5,2018
801–1000,Nicolaus Copernicus University in ToruńPolandCourses,"21,497",9.9,2%,70 : 30,801–1000,15.6–21.4,19.2,8.9,20.9,32.9,24.2,2018
801–1000,Niigata UniversityJapanCoursesExplore,"12,522",8.1,4%,38 : 62,801–1000,15.6–21.4,22.7,10.7,25.6,36.2,23.5,2018
801–1000,Northeastern UniversityChinaCourses,"33,348",15.1,4%,,801–1000,15.6–21.4,21.7,22.7,9.2,98.9,24.3,2018
801–1000,Northwest UniversityChinaCourses,"22,167",15.0,2%,56 : 44,801–1000,15.6–21.4,19.4,11.6,31.8,38.2,16.4,2018
801–1000,NorthWest A&F UniversityChinaCourses,"30,722",16.7,1%,,801–1000,15.6–21.4,20.6,11.2,25.8,40.0,20.5,2018
801–1000,Novosibirsk State Technical UniversityRussian FederationCourses,"11,126",10.7,16%,45 : 55,801–1000,15.6–21.4,22.5,10.6,20.6,35.8,30.4,2018
801–1000,Oakland UniversityUnited StatesCoursesEnquire,"15,401",19.0,3%,59 : 41,801–1000,15.6–21.4,19.6,12.3,26.0,32.8,25.2,2018
801–1000,Ocean University of ChinaChinaCourses,"35,410",19.4,1%,,801–1000,15.6–21.4,21.0,13.6,26.1,50.9,18.8,2018
801–1000,Osaka Prefecture UniversityJapanCourses,"7,931",7.4,3%,35 : 65,801–1000,15.6–21.4,23.8,12.3,17.9,39.2,20.5,2018
801–1000,Osmania UniversityIndiaCourses,"12,017",15.5,3%,29 : 71,801–1000,15.6–21.4,33.9,8.4,14.5,32.0,15.1,2018
801–1000,University of OstravaCzech RepublicCourses,"10,062",21.5,7%,69 : 31,801–1000,15.6–21.4,16.0,11.4,24.1,31.9,39.4,2018
801–1000,University of PardubiceCzech RepublicCourses,"8,487",15.7,3%,55 : 45,801–1000,15.6–21.4,18.4,13.4,14.2,32.4,23.9,2018
801–1000,Paris Nanterre UniversityFranceCourses,"33,635",35.7,16%,63 : 37,801–1000,15.6–21.4,21.3,12.9,18.7,31.7,48.2,2018
801–1000,Pondicherry UniversityIndiaCourses,"6,278",17.3,1%,42 : 58,801–1000,15.6–21.4,35.3,10.1,11.3,31.8,13.8,2018
801–1000,Pontifícia Universidade Católica do ParanáBrazilCourses,"26,022",23.3,1%,53 : 47,801–1000,15.6–21.4,17.1,8.6,27.7,34.5,23.0,2018
801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS)BrazilCourses,"20,944",23.6,1%,51 : 49,801–1000,15.6–21.4,22.7,12.6,25.7,45.4,25.0,2018
801–1000,Pontifical Catholic University of ValparaísoChileCourses,"14,953",23.1,1%,43 : 57,801–1000,15.6–21.4,17.4,12.9,13.2,49.0,47.7,2018
801–1000,Prince of Songkla UniversityThailandCourses,"42,751",18.3,1%,70 : 30,801–1000,15.6–21.4,16.4,8.1,20.3,34.0,32.2,2018
801–1000,Riga Technical UniversityLatviaCourses,"11,119",27.3,9%,33 : 67,801–1000,15.6–21.4,18.3,11.3,14.8,39.0,32.7,2018
801–1000,Universidade do Estado do Rio de Janeiro (UERJ)BrazilCourses,"25,811",9.9,0%,48 : 52,801–1000,15.6–21.4,21.4,9.9,12.8,40.4,19.7,2018
801–1000,Ritsumeikan UniversityJapanCourses,"35,228",14.5,4%,35 : 65,801–1000,15.6–21.4,18.6,9.0,13.9,32.7,31.8,2018
801–1000,Robert Gordon UniversityUnited KingdomCoursesEnquire,"9,617",18.3,24%,60 : 40,801–1000,15.6–21.4,16.9,9.8,17.2,33.0,68.3,2018
801–1000,Saga UniversityJapanCourses,"7,015",10.3,3%,38 : 62,801–1000,15.6–21.4,21.1,11.3,17.8,48.1,22.3,2018
801–1000,Saitama UniversityJapanCourses,"8,808",13.9,5%,32 : 68,801–1000,15.6–21.4,19.0,11.7,24.9,33.0,27.7,2018
801–1000,Saitama Medical UniversityJapanCourses,"1,874",1.5,0%,53 : 47,801–1000,15.6–21.4,23.7,7.8,18.3,36.3,14.3,2018
801–1000,"University of Santiago, Chile (USACH)ChileCourses","23,401",21.0,1%,40 : 60,801–1000,15.6–21.4,17.4,10.0,12.1,32.4,40.9,2018
801–1000,Seoul National University of Science and Technology (SeoulTech)South KoreaCourses,"12,471",16.6,2%,33 : 67,801–1000,15.6–21.4,25.3,18.9,13.7,36.2,18.2,2018
801–1000,Shaanxi Normal UniversityChinaCourses,"26,388",14.2,3%,72 : 28,801–1000,15.6–21.4,18.3,9.6,29.5,36.2,18.2,2018
801–1000,Shahid Beheshti UniversityIranCourses,"17,113",22.6,1%,52 : 48,801–1000,15.6–21.4,21.8,19.8,19.1,46.7,16.4,2018
801–1000,University of SharjahUnited Arab EmiratesCourses,"13,300",23.6,61%,65 : 35,801–1000,15.6–21.4,18.1,8.9,16.5,36.3,99.3,2018
801–1000,Sheffield Hallam UniversityUnited KingdomCoursesEnquire,"24,627",16.3,14%,54 : 46,801–1000,15.6–21.4,18.3,10.8,24.9,32.1,48.8,2018
801–1000,Shiga University of Medical ScienceJapanCourses,"1,134",3.0,2%,51 : 49,801–1000,15.6–21.4,24.8,9.4,27.7,40.9,21.0,2018
801–1000,Shimane UniversityJapanCourses,"6,122",8.0,2%,37 : 63,801–1000,15.6–21.4,21.8,10.0,12.6,34.4,18.2,2018
801–1000,Shinshu UniversityJapanCourses,"10,944",10.3,2%,32 : 68,801–1000,15.6–21.4,21.3,8.9,28.0,40.0,22.5,2018
801–1000,Shiraz UniversityIranCourses,"12,879",19.3,1%,49 : 51,801–1000,15.6–21.4,22.9,20.5,18.4,45.3,16.6,2018
801–1000,Shizuoka UniversityJapanCourses,"10,032",14.1,3%,29 : 71,801–1000,15.6–21.4,19.1,12.5,11.4,36.1,24.3,2018
801–1000,Showa UniversityJapanCourses,"3,747",2.4,1%,58 : 42,801–1000,15.6–21.4,27.1,8.8,13.2,34.7,15.9,2018
801–1000,University of Silesia in KatowicePolandCourses,"26,470",14.1,2%,68 : 32,801–1000,15.6–21.4,18.5,7.8,20.4,31.8,22.9,2018
801–1000,Simón Bolívar UniversityVenezuelaCourses,"9,731",12.1,0%,44 : 56,801–1000,15.6–21.4,19.0,6.3,14.9,46.7,41.6,2018
801–1000,Slovak University of Technology in BratislavaSlovakiaCourses,"15,749",14.8,2%,33 : 67,801–1000,15.6–21.4,21.6,13.2,11.5,34.7,26.5,2018
801–1000,Sophia UniversityJapanCoursesExplore,"12,907",23.6,8%,54 : 46,801–1000,15.6–21.4,23.6,10.7,11.2,32.6,37.1,2018
